processo,setor,ordem,data,chars,hit,trecho
003659/2022,GCCTH,73,27/02/2024,980,True,"bem como c onsiderando recente decisão do Supremo Tribunal Federal na Suspensão de Liminar nº 1.691/RN, em que a Suprema Corte confirmou a competência dest e Tribunal de Contas para determinar o desconto em folha de pagamento do servidor que tenha sido condenado ao pagamento de multa ou ressarcimento em sede de respectivo processo de con tas, determino a remessa dos autos à Diretoria de Atos e Execuções – DAE, a fi m de adote as medidas executórias ne"
003023/2022,GCCTH,64,27/02/2024,1021,True,"bem como c onsiderando recente decisão do Supremo Tribunal Federal na Suspensão de Liminar nº 1.691/RN, em que a Suprema Corte confirmou a competência dest e Tribunal de Contas para determinar o desconto em folha de pagamento do servidor que tenha sido condenado ao pagamento de multa ou ressarcimento em sede de respectivo processo de con tas, determino a remessa dos autos à Diretoria de Atos e Execuções – DAE, a fim de adote as medidas executórias nece"
003659/2022,GCCTH,77,06/05/2026,2838,True,"l o Pleno deste Tribunal julgou pela aplicação de multa ao Sr. Nereu Batista Linhares, em razão do descumprimento de determinação desta Corte, bem como determinou a efetivação de desconto integral do valor correspondente à sanção pecuniária nos respectivos vencimentos, subsídios, salários ou proventos, em caso de não recolhimento espontâneo. Em 27/04/2026 os autos foram recebidos neste Gabinete com manifestação do Corpo Técnico da"
003023/2022,GCCTH,68,06/05/2026,2839,True,"l o Pleno deste Tribunal julgou pela aplicação de multa ao Sr. Nereu Batista Linhares, em razão do descumprimento de determinação desta Corte, bem como determinou a efetivação de desconto integral do valor correspondente à sanção pecuniária nos respectivos vencimentos, subsídios, salários ou proventos, em caso de não recolhimento espontâneo. Em 27/04/2026 os autos foram recebidos neste Gabinete com manifestação do Corpo Técnico da"
005310/2017,GCREN,71,08/05/2023,2283,False,
005310/2017,GCREN,72,06/02/2024,1098,False,
000115/2022,GCADE,44,06/02/2024,700,False,
000119/2022,GCADE,44,06/02/2024,699,False,
003006/2022,GCADE,44,06/02/2024,704,False,
000123/2022,GCADE,42,06/02/2024,711,False,
000134/2022,GCADE,62,06/02/2024,702,False,
000130/2023,GCGIL,74,24/01/2025,1247,True,"rto de Oliveira Jales Relator 1 Art. 118. Expirado o prazo do art. 117 sem manifestação do respons ável, pode o Tribunal: I - impor-lhe o desconto integral da dívida nos respectivos vencimentos, salários ou proventos, observados os limites previstos na legislação aplicável; (...)"
002701/2022,GCGIL,63,28/01/2026,1585,False,
